2026-04-22 22:06 | unknown              | implementation | PARTIAL  | 2090   | P3 ALM: all files written, build passed, timed out before commit+test verification
2026-04-22 22:55 | gemini-2.5-flash-preview-04-17 | patch        | ACCEPT   | 200    | WU-7 3 test renames done directly (Gemini failed)
2026-04-26 01:09 | unknown              | plan-B-adversarial-review | PARTIAL  | 0      | read_file_count=0; guessed from general knowledge; Q1 wrong (shift formula correct), Q3 valid but not a bug, Q2/Q4/Q5 correct
2026-04-26 10:56 | unknown              | plan-C-spec-adversarial | PARTIAL  | 0      | read_file_count=0 again (guessing). Valid: lf[] is dead code (never read, waste log calls). KL monotone claim: cell-mass KL monotone, margin-KL may oscillate — handled by best_iter tracking. Others CORRECT. Action: remove lf vector from plan.
2026-04-26 12:36 | unknown              | plan-D-greg-adversarial | PARTIAL  | 0      | read_file_count=0. Valid: exit unconditionally RK_OK is bug; b[] nested loop O(M*max_cats) not O(M). Disputed: 'moving target W' — GREG uses T*n (fixed n), not T*W; plan should use st.n. LDLT trace and lambda indexing: CORRECT.
2026-04-26 13:38 | unknown              | plan-E-chebyshev-grake-review | PARTIAL  | 0      | read_file_count=0 (4th time). Q4 'RHS missing centering' is valid for full Mehrotra but plan uses centering-only barrier (explicit). Q6 sign correct. Q1/Q2/Q3/Q5 correct. No new blocking issues — proceed to execution.
2026-04-26 13:53 | unknown              | plan-E-v3-review | PARTIAL  | 0      | read_file_count=0 (5th time). Q2 D_eff BUG claim is WRONG (compares to greg.cpp incorrectly; margin barrier weights belong in 1/D_eff[c] per Schur complement derivation). Q5 convergence BUG is CORRECT — max_primal/n_d check requires calibration error < 1e-7 but chebyshev minimizes delta (δ* could be 0.01). Fixed: convergence now μ-only.
2026-04-26 15:05 | unknown              | nu-fix-plan-review | VERIFIED | 3      | read_file_count=3. All 5 questions CORRECT. Plan algorithm valid. schur_nu correct. W in scope. w_dot_dlambda already after dlambda correction. Proceed to execute.
2026-04-26 18:57 | unknown              | P3-plan-adversarial-review | DEGRADED | ~10-files | fallback_occurred=True: requested gemini-2.5-pro-preview-05-06 but Flash used; all 6 Q=OK findings still grounded in 10 files
2026-04-26 19:40 | unknown              | fix-plan-review | DEGRADED | 5-files | fallback=True; Flash reviewed 4 WUs; all Q1-Q5 OK
2026-04-26 22:31 | unknown              | chebyshev-renorm-review | DEGRADED | 1-file | fallback=True; Q1=BUG(real), Q2=OK, Q3=OK, Q4=CONCERN, Q5=OK
2026-04-27 10:28 | unknown              | ieppa-plan-review | DEGRADED | 16-files | fallback=True; Q2 false-positive (Gemini logic error on X_cur direction); Q5 real (max_weight=3 fix applied)
